"Story","Title","Result","Date","Stability","Duration (s)"
"Organisations","008 Adding organization into EPO portal","SUCCESS","2024-03-14T07:25:40.673125333Z[GMT]","0.0","60.28"
"System maintenance","Add a system message: schedule date=today, exiry date=2 days later","SUCCESS","2024-03-14T07:25:40.712010637Z[GMT]","0.0","68.05"
"Internal portal","001 Login to internal portal as administrator","SUCCESS","2024-03-14T07:25:40.714306215Z[GMT]","0.0","50.45"
"Internal portal","004 User rights and permissions - Admin","SUCCESS","2024-03-14T07:26:31.23716233Z[GMT]","0.0","94.43"
"Organisations","009 De-activation of an organization","SUCCESS","2024-03-14T07:26:41.122957854Z[GMT]","0.0","56.42"
"System maintenance","Add a system message: schedule date=today, exiry date=empty","SUCCESS","2024-03-14T07:26:48.769439022Z[GMT]","0.0","22.47"
"Organisations","010 Edit an organization","SUCCESS","2024-03-14T07:27:37.760563914Z[GMT]","0.0","54.96"
"Internal portal","005 Import users","SUCCESS","2024-03-14T07:28:05.680429581Z[GMT]","0.0","38.91"
