"Story","Title","Result","Date","Stability","Duration (s)"
"Internal portal","001 Login to internal portal as administrator","SUCCESS","2024-03-14T07:25:40.714306215Z[GMT]","0.0","50.45"
"Internal portal","004 User rights and permissions - Admin","SUCCESS","2024-03-14T07:26:31.23716233Z[GMT]","0.0","94.43"
"Internal portal","005 Import users","SUCCESS","2024-03-14T07:28:05.680429581Z[GMT]","0.0","38.91"
