"Story","Title","Result","Date","Stability","Duration (s)"
"Internal portal","001 Login to internal portal as administrator","SUCCESS","2024-03-14T07:25:40.714306215Z[GMT]","0.0","50.45"
"Organisations","009 De-activation of an organization","SUCCESS","2024-03-14T07:26:41.122957854Z[GMT]","0.0","56.42"
"Organisations","010 Edit an organization","SUCCESS","2024-03-14T07:27:37.760563914Z[GMT]","0.0","54.96"
"Internal portal","005 Import users","SUCCESS","2024-03-14T07:28:05.680429581Z[GMT]","0.0","38.91"
